code_departement,prix_m2_moyen,prix_m2_median,nb_transactions,surface_moyenne,valeur_moyenne,rendement_estime
91.0,4330.07,3228.19,14649,109.77,370222.82,4.156976677051411
94.0,6825.41,5136.15,14778,84.95,464851.45,2.6372042119081494
