rang,departement,type_bien,score_profil,score_final,rendement_brut,valeur_fonciere,surface,prix_m2,justifications
1,91,Grande maison,6.265,6.0,11.949473684210526,285000.0,172.0,1656.9767441860463,"[""✅ Rendement 11.9% supérieur à l'objectif (5.5%)"", ""✅ Score d'opportunité satisfaisant (≥5/10)"", '✅ Prix bien positionné dans votre budget', '✅ Rendement attractif pour investisseur expérimenté', '✅ Surface intéressante pour optimiser la rentabilité']"
2,91,Grande maison,6.265,6.0,11.9625,240000.0,145.0,1655.1724137931035,"[""✅ Rendement 12.0% supérieur à l'objectif (5.5%)"", ""✅ Score d'opportunité satisfaisant (≥5/10)"", '✅ Prix bien positionné dans votre budget', '✅ Rendement attractif pour investisseur expérimenté', '✅ Surface intéressante pour optimiser la rentabilité']"
3,91,Grande maison,6.265,6.0,11.995020746887967,241000.0,146.0,1650.6849315068494,"[""✅ Rendement 12.0% supérieur à l'objectif (5.5%)"", ""✅ Score d'opportunité satisfaisant (≥5/10)"", '✅ Prix bien positionné dans votre budget', '✅ Rendement attractif pour investisseur expérimenté', '✅ Surface intéressante pour optimiser la rentabilité']"
4,91,Grande maison,6.245,6.0,11.92258064516129,465000.0,280.0,1660.7142857142858,"[""✅ Rendement 11.9% supérieur à l'objectif (5.5%)"", ""✅ Score d'opportunité satisfaisant (≥5/10)"", '✅ Prix bien positionné dans votre budget', '✅ Rendement attractif pour investisseur expérimenté', '✅ Surface intéressante pour optimiser la rentabilité']"
5,91,Maison familiale,6.2299999999999995,6.0,11.88,155000.0,93.0,1666.6666666666667,"[""✅ Rendement 11.9% supérieur à l'objectif (5.5%)"", ""✅ Score d'opportunité satisfaisant (≥5/10)"", '✅ Prix bien positionné dans votre budget', '✅ Rendement attractif pour investisseur expérimenté', '✅ Surface intéressante pour optimiser la rentabilité']"
