id_zone;INSEE_C;LIBGEO;EPCI;DEP;REG;loypredm2;lwr.IPm2;upr.IPm2;TYPPRED;nbobs_com;nbobs_mail;R2_adj;Type_de_logement
995;91098;Boutervilliers;200017846;91;11;11,87422697;10,08431859;13,98183378;maille;1;2012;0,641955499;Appartement
1603;91099;Boutigny-sur-Essonne;249100157;91;11;15,32906658;12,83554691;18,30699415;commune;143;494;0,825075414;Appartement
1046;91099;Boutigny-sur-Essonne;249100157;91;11;17,08817676;14,77688025;19,76099014;maille;96;499;0,809717144;Appartement
1168;91099;Boutigny-sur-Essonne;249100157;91;11;13,37232289;10,98997975;16,27109636;maille;32;512;0,838725834;Maison
451;91099;Boutigny-sur-Essonne;249100157;91;11;12,91197423;10,69761728;15,58469275;maille;41;481;0,708013712;Appartement
1789;91100;Bouville;200017846;91;11;14,36400314;12,70270261;16,24257394;maille;3;476;0,890300411;Appartement
947;91100;Bouville;200017846;91;11;15,47878004;13,18258884;18,17493015;maille;2;563;0,743877955;Appartement
100;91100;Bouville;200017846;91;11;12,59609601;10,13309088;15,65777279;maille;11;565;0,831231017;Maison
1807;91100;Bouville;200017846;91;11;13,80269338;11,95004689;15,94256042;maille;0;587;0,695338682;Appartement
1727;91103;Bretigny-sur-Orge;200057859;91;11;17,11011999;14,88280247;19,67077146;commune;3077;3077;0,895003287;Appartement
1670;91103;Bretigny-sur-Orge;200057859;91;11;20,13993661;17,66083178;22,96704095;commune;2016;2415;0,830686815;Appartement
1942;91103;Bretigny-sur-Orge;200057859;91;11;14,77460615;12,1529449;17,9618182;commune;174;496;0,830801581;Maison
843;91103;Bretigny-sur-Orge;200057859;91;11;14,77042303;12,62363975;17,28228949;commune;1056;1170;0,590504756;Appartement
2088;91105;Breuillet;200057859;91;11;15,73141146;13,69790334;18,06680193;commune;573;654;0,866013827;Appartement
1695;91105;Breuillet;200057859;91;11;18,92397683;16,47051029;21,74291463;commune;356;713;0,785289178;Appartement
100;91105;Breuillet;200057859;91;11;13,90948397;11,20213608;17,27114748;commune;184;565;0,831231017;Maison
1807;91105;Breuillet;200057859;91;11;14,31219002;12,40042523;16,51869023;commune;216;587;0,695338682;Appartement
